model-name,phase,sum,median,std,count,mean,intervention,iqr
deepseek-r1:14b,1,311,15.0,3.926629732051595,20,15.55,False,4.25
deepseek-r1:14b,2,351,18.0,3.8726435959241883,20,17.55,True,4.5
deepseek-r1:14b,3,323,16.0,3.2811262507992907,20,16.15,False,3.0
deepseek-r1:32b,1,311,16.0,4.828370107472796,20,15.55,False,7.25
deepseek-r1:32b,2,374,19.0,4.130757544898616,20,18.7,True,6.25
deepseek-r1:32b,3,319,17.0,3.7059695797882357,20,15.95,False,6.0
deepseek-v3.1:671b-cloud,1,527,32.5,10.931725919494474,20,26.35,False,17.0
deepseek-v3.1:671b-cloud,2,681,34.5,1.791059668699541,20,34.05,True,1.0
deepseek-v3.1:671b-cloud,3,508,29.5,10.29767475030931,20,25.4,False,17.75
llama3.2:1b,1,268,14.5,6.184871185315615,20,13.4,False,11.5
llama3.2:1b,2,380,19.0,4.167543767332455,20,19.0,True,4.0
llama3.2:1b,3,275,12.0,6.222835704927965,20,13.75,False,10.75
llama3.2:3b,1,327,16.0,4.923359999452664,20,16.35,False,6.5
llama3.2:3b,2,309,16.5,4.773556546775493,20,15.45,False,6.5
llama3.2:3b,3,371,20.0,5.735163926441675,20,18.55,False,11.25
llama3.3:70b,1,538,26.5,2.573140616363386,20,26.9,False,2.25
llama3.3:70b,2,531,27.0,3.0689446154389266,20,26.55,False,4.0
llama3.3:70b,3,543,26.0,3.468277291166473,20,27.15,False,4.0
mistral-small:22b,1,495,25.0,3.0065717493867536,20,24.75,False,3.0
mistral-small:22b,2,482,25.5,4.470958922223567,20,24.1,False,5.0
mistral-small:22b,3,492,26.0,4.210263149670539,20,24.6,False,4.0
qwen3:14b,1,300,14.5,5.947135533400225,20,15.0,False,9.5
qwen3:14b,2,308,16.5,6.92364370149585,20,15.4,False,11.0
qwen3:14b,3,290,13.0,5.365582324800406,20,14.5,False,9.5
qwen3:4b,1,402,20.5,7.853259464103189,20,20.1,False,10.75
qwen3:4b,2,423,21.0,10.37849497252549,20,21.15,True,20.5
qwen3:4b,3,399,19.0,6.9242138067874,20,19.95,False,11.0
smollm2:135m,1,143,7.0,0.3663475485325235,20,7.15,False,0.0
smollm2:135m,2,137,7.0,2.1182370274771336,18,7.611111111111111,False,0.0
smollm2:135m,3,135,7.0,1.784327192364608,17,7.9411764705882355,False,1.0
