model-name,phase,sum,median,std,count,mean,intervention,iqr
deepseek-r1:14b,1,128,12.5,2.3475755815545343,10,12.8,False,2.0
deepseek-r1:14b,2,151,15.5,3.5730472522297636,10,15.1,True,3.5
deepseek-r1:14b,3,144,15.5,3.5652645218989165,10,14.4,False,2.75
deepseek-r1:32b,1,129,12.5,3.665151201974256,10,12.9,False,4.0
deepseek-r1:32b,2,165,15.5,3.778594682918211,10,16.5,True,6.25
deepseek-r1:32b,3,138,13.0,3.966526608171604,10,13.8,False,4.25
deepseek-v3.1:671b-cloud,1,180,18.0,9.854496999396321,10,18.0,False,18.5
deepseek-v3.1:671b-cloud,2,336,34.0,2.412928142780516,10,33.6,True,1.0
deepseek-v3.1:671b-cloud,3,165,16.5,6.835365551469959,10,16.5,False,9.25
llama3.2:1b,1,94,7.0,5.081557066709201,10,9.4,False,0.0
llama3.2:1b,2,166,18.0,4.115013163202924,10,16.6,True,5.0
llama3.2:1b,3,105,8.0,6.004627844883942,10,10.5,False,3.0
llama3.2:3b,1,137,14.0,3.622460796505909,10,13.7,False,5.5
llama3.2:3b,2,132,12.0,4.848825745591515,10,13.2,False,7.5
llama3.2:3b,3,160,13.5,5.65685424949238,10,16.0,False,9.75
llama3.3:70b,1,278,28.0,3.2930904093942583,10,27.8,False,3.5
llama3.3:70b,2,269,26.0,4.04007700696685,10,26.9,False,6.75
llama3.3:70b,3,282,28.5,4.211096452627668,10,28.2,False,4.75
mistral-small:22b,1,245,24.0,4.034572812303402,10,24.5,False,6.0
mistral-small:22b,2,231,24.5,5.820461990063827,10,23.1,False,4.25
mistral-small:22b,3,228,23.0,5.32916503778969,10,22.8,False,10.5
qwen3:14b,1,101,9.5,2.0248456731316584,10,10.1,False,1.0
qwen3:14b,2,96,9.0,3.0258148581093915,10,9.6,False,3.5
qwen3:14b,3,98,9.5,1.6865480854231356,10,9.8,False,2.0
qwen3:4b,1,157,15.5,7.008724721532599,10,15.7,False,10.25
qwen3:4b,2,121,11.5,4.532597979574677,10,12.1,True,7.0
qwen3:4b,3,152,14.0,5.788878225624643,10,15.2,False,5.5
smollm2:135m,1,72,7.0,0.42163702135578424,10,7.2,False,0.0
smollm2:135m,2,80,7.0,2.8284271247461903,10,8.0,False,0.0
smollm2:135m,3,77,7.0,1.4944341180973262,10,7.7,False,0.0
