model-name,phase,sum,median,std,count,mean,intervention,iqr
deepseek-r1:14b,1,379,19.0,7.660390260774475,20,18.95,False,13.5
deepseek-r1:14b,2,427,24.0,7.292930968085679,20,21.35,True,13.5
deepseek-r1:14b,3,379,18.0,6.452049857868512,20,18.95,False,10.75
deepseek-r1:32b,1,411,19.0,8.009698069084422,20,20.55,False,10.5
deepseek-r1:32b,2,432,22.0,6.938830479342513,20,21.6,True,9.75
deepseek-r1:32b,3,383,19.5,5.5181518645285585,20,19.15,False,7.75
deepseek-v3.1:671b-cloud,1,613,34.5,6.360031446463139,20,30.65,False,8.0
deepseek-v3.1:671b-cloud,2,696,35.0,0.41039134083406137,20,34.8,True,0.0
deepseek-v3.1:671b-cloud,3,596,34.0,6.947926612344601,20,29.8,False,9.0
llama3.2:1b,1,422,24.5,9.323992819884792,20,21.1,False,16.5
llama3.2:1b,2,573,30.5,5.546691759389935,20,28.65,True,6.25
llama3.2:1b,3,401,21.0,9.202259447949098,20,20.05,False,15.5
llama3.2:3b,1,558,29.5,6.84336020879863,20,27.9,False,7.0
llama3.2:3b,2,523,29.5,8.767613850505674,20,26.15,False,10.25
llama3.2:3b,3,568,31.0,6.038473142669166,20,28.4,False,8.5
llama3.3:70b,1,646,32.5,1.6575187543592476,20,32.3,False,1.0
llama3.3:70b,2,642,32.5,1.860956177543373,20,32.1,False,2.0
llama3.3:70b,3,641,32.0,1.3562719801759984,20,32.05,False,1.0
mistral-small:22b,1,663,33.0,1.6630662866176475,20,33.15,False,2.25
mistral-small:22b,2,634,33.0,3.1805328914639794,20,31.7,False,1.25
mistral-small:22b,3,658,33.0,1.7441631985447612,20,32.9,False,2.0
qwen3:14b,1,355,14.5,10.020373981885212,20,17.75,False,20.25
qwen3:14b,2,368,16.0,10.414564700204076,20,18.4,False,19.75
qwen3:14b,3,333,14.0,9.443878552017871,20,16.65,False,15.25
qwen3:4b,1,422,24.5,10.315547795235572,20,21.1,False,19.25
qwen3:4b,2,420,21.5,12.912662084375288,20,21.0,True,26.0
qwen3:4b,3,391,20.5,10.399772264713047,20,19.55,False,19.0
smollm2:135m,1,143,7.0,0.4893604849295929,20,7.15,False,0.0
smollm2:135m,2,141,7.0,1.4652845537742534,18,7.833333333333333,False,1.0
smollm2:135m,3,132,7.0,1.821037196376899,17,7.764705882352941,False,0.0
