model-name,phase,sum,median,std,count,mean,intervention,iqr
deepseek-r1:14b,1,256,26.0,4.115013163202924,10,25.6,False,6.75
deepseek-r1:14b,2,277,27.5,2.3118054512532935,10,27.7,True,3.0
deepseek-r1:14b,3,246,25.0,3.134042472944843,10,24.6,False,2.75
deepseek-r1:32b,1,258,27.5,7.554248252914823,10,25.8,False,4.0
deepseek-r1:32b,2,263,26.0,4.620004810002308,10,26.3,True,6.75
deepseek-r1:32b,3,232,23.5,3.32665998663324,10,23.2,False,2.5
deepseek-v3.1:671b-cloud,1,349,35.0,0.31622776601683844,10,34.9,False,0.0
deepseek-v3.1:671b-cloud,2,347,35.0,0.48304589153964744,10,34.7,True,0.75
deepseek-v3.1:671b-cloud,3,347,35.0,0.48304589153964805,10,34.7,False,0.75
llama3.2:1b,1,262,27.5,5.513619500836089,10,26.2,False,6.0
llama3.2:1b,2,267,29.5,6.290204024248074,10,26.7,True,9.25
llama3.2:1b,3,212,25.5,8.443274772793368,10,21.2,False,15.0
llama3.2:3b,1,264,29.0,6.569288816573341,10,26.4,False,4.75
llama3.2:3b,2,264,27.5,5.777350411544878,10,26.4,False,7.25
llama3.2:3b,3,284,30.5,4.550946177566937,10,28.4,False,6.75
llama3.3:70b,1,317,32.0,1.4944341180973273,10,31.7,False,1.5
llama3.3:70b,2,313,32.0,1.7029386365926382,10,31.3,False,3.25
llama3.3:70b,3,313,32.0,1.4181364924121764,10,31.3,False,2.0
mistral-small:22b,1,322,32.5,1.6193277068654834,10,32.2,False,1.0
mistral-small:22b,2,301,32.0,3.7549966711037173,10,30.1,False,5.25
mistral-small:22b,3,323,32.5,1.1595018087284055,10,32.3,False,1.0
qwen3:14b,1,271,29.0,4.040077006966851,10,27.1,False,4.5
qwen3:14b,2,279,28.5,5.10881590977792,10,27.9,False,7.25
qwen3:14b,3,253,23.5,4.595891885393109,10,25.3,False,7.5
qwen3:4b,1,299,30.5,3.784471194529326,10,29.9,False,6.25
qwen3:4b,2,335,34.0,1.1785113019775786,10,33.5,True,0.75
qwen3:4b,3,292,29.0,3.583914681524163,10,29.2,False,4.75
smollm2:135m,1,71,7.0,0.3162277660168379,10,7.1,False,0.0
smollm2:135m,2,58,7.0,0.46291004988627593,8,7.25,False,0.25
smollm2:135m,3,54,7.0,1.2535663410560174,7,7.714285714285714,False,1.0
